#;Sample Name;ng/ul;Factor;A260;Pathlength (mm);260/280;260/230;Date/Time;Baseline nm;Baseline abs;Account;Session;Measure Type;Sample Type;Instrument;Exposure;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252;253;254;255;256;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;293;294;295;296;297;298;299;300;301;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317;318;319;320;321;322;323;324;325;326;327;328;329;330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350
1;positive_ctrl;11.95;50;0.239;10;1.9;0.73;01-01-2000 01:03;340;0.044;General Account;3914;MEASURE;dsDNA;00129:V1.35:FW V2.24:DB 1335;Mic:UV:6.0:10:9:86:22;0.518;0.498;0.469;0.462;0.429;0.413;0.395;0.37;0.349;0.342;0.327;0.311;0.29;0.263;0.24;0.216;0.21;0.203;0.194;0.196;0.199;0.203;0.21;0.215;0.216;0.217;0.223;0.224;0.227;0.229;0.23;0.232;0.233;0.238;0.24;0.244;0.243;0.243;0.24;0.237;0.239;0.237;0.231;0.228;0.221;0.219;0.22;0.216;0.206;0.2;0.198;0.198;0.19;0.179;0.171;0.161;0.152;0.146;0.135;0.126;0.126;0.117;0.11;0.107;0.106;0.101;0.094;0.079;0.071;0.067;0.061;0.053;0.046;0.039;0.04;0.041;0.034;0.03;0.028;0.022;0.024;0.022;0.015;0.014;0.018;0.017;0.014;0.017;0.019;0.018;0.024;0.018;0.017;0.016;0.01;0.007;0.012;0.01;0;0.001;-0.003;-0.002;0.001;-0.001;-0.01;-0.012;-0.008;-0.007;-0.004;-0.002;-0.002;0.003;0.005;0.004;0.001;0.001;0.004;0.003;0.002;0.001;0;0.007;0.009;0.004;0.004;-0.003;-0.007;-0.005;-0.01;-0.019;-0.02
;negative_ctrl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;gfp_up;8.4;50;0.168;10;3.91;1.16;01-01-2000 01:08;340;0.056;General Account;3914;MEASURE;dsDNA;00129:V1.35:FW V2.24:DB 1335;Mic:UV:6.0:10:9:86:22;0.191;0.18;0.152;0.146;0.14;0.157;0.159;0.145;0.142;0.145;0.145;0.148;0.149;0.143;0.136;0.14;0.15;0.154;0.156;0.158;0.159;0.162;0.169;0.173;0.169;0.165;0.168;0.169;0.17;0.171;0.166;0.162;0.163;0.169;0.168;0.169;0.174;0.172;0.169;0.171;0.168;0.163;0.16;0.158;0.15;0.146;0.146;0.145;0.14;0.133;0.13;0.126;0.115;0.107;0.099;0.084;0.077;0.071;0.057;0.048;0.043;0.037;0.037;0.036;0.036;0.03;0.03;0.025;0.02;0.018;0.012;0.006;-0.001;-0.003;0.001;0.006;0.002;-0.003;-0.008;-0.008;-0.002;-0.001;-0.009;-0.011;-0.005;0;0.006;0.013;0.016;0.02;0.03;0.029;0.025;0.026;0.02;0.014;0.009;0.007;0;-0.009;-0.008;0.003;0.006;0.004;-0.001;-0.001;0.005;0.01;0.013;0.013;0.007;0.011;0.014;0.009;0.001;0;0.001;-0.003;-0.001;-0.002;0;0.006;0.023;0.022;0.023;0.014;0.015;0.017;0.023;0.015;0.002
4;mkate_up;7.45;50;0.149;10;3.82;1.96;01-01-2000 01:10;340;-0.029;General Account;3914;MEASURE;dsDNA;00129:V1.35:FW V2.24:DB 1335;Mic:UV:6.0:10:9:86:22;0.135;0.13;0.113;0.11;0.1;0.093;0.093;0.084;0.075;0.077;0.076;0.073;0.072;0.071;0.068;0.071;0.082;0.087;0.091;0.103;0.105;0.115;0.12;0.126;0.129;0.128;0.132;0.134;0.138;0.141;0.142;0.14;0.144;0.148;0.156;0.161;0.157;0.155;0.149;0.152;0.149;0.144;0.139;0.136;0.129;0.126;0.128;0.121;0.119;0.12;0.118;0.117;0.114;0.107;0.103;0.094;0.082;0.074;0.058;0.045;0.039;0.032;0.027;0.028;0.026;0.022;0.024;0.022;0.02;0.018;0.013;0.01;0.007;0.006;0.008;0.013;0.008;0.003;-0.001;-0.004;-0.001;-0.005;-0.016;-0.024;-0.023;-0.015;-0.008;-0.003;0.005;0.012;0.024;0.021;0.021;0.015;0.014;0.009;0.002;0.005;0;0.001;0.003;0.018;0.018;0.012;0.009;0.004;0.004;0.012;0.017;0.012;0.007;0.015;0.019;0.016;0.013;0.009;0.005;-0.001;-0.004;-0.005;0;0.007;0.022;0.024;0.028;0.023;0.023;0.024;0.027;0.017;0.004
5;mkate_down;16.15;50;0.323;10;2.37;2.18;01-01-2000 01:10;340;-0.005;General Account;3914;MEASURE;dsDNA;00129:V1.35:FW V2.24:DB 1335;Mic:UV:6.0:10:9:86:22;0.228;0.209;0.181;0.179;0.171;0.174;0.166;0.157;0.145;0.145;0.148;0.147;0.145;0.144;0.148;0.157;0.175;0.188;0.198;0.216;0.223;0.238;0.252;0.26;0.264;0.265;0.273;0.282;0.292;0.297;0.296;0.3;0.315;0.329;0.338;0.339;0.332;0.327;0.327;0.326;0.323;0.315;0.311;0.306;0.3;0.302;0.294;0.287;0.279;0.271;0.265;0.263;0.251;0.239;0.23;0.212;0.197;0.188;0.167;0.143;0.136;0.12;0.111;0.109;0.103;0.094;0.089;0.083;0.075;0.069;0.06;0.046;0.043;0.031;0.029;0.027;0.019;0.013;0.007;0;-0.002;-0.004;-0.014;-0.022;-0.018;-0.015;-0.01;-0.002;0.003;0.007;0.019;0.016;0.014;0.014;0.011;0.01;0.003;0.004;0;-0.001;0.001;0.01;0.012;0.009;0.007;0.001;0.002;0.009;0.012;0.01;0.006;0.006;0.009;0.008;0.005;0.006;0.003;-0.001;-0.008;-0.004;0;0.01;0.022;0.022;0.023;0.02;0.02;0.023;0.022;0.014;-0.003
6;mkate_neutral;17.75;50;0.355;10;2.41;2.04;01-01-2000 01:11;340;0.002;General Account;3914;MEASURE;dsDNA;00129:V1.35:FW V2.24:DB 1335;Mic:UV:6.0:10:9:86:22;0.242;0.226;0.199;0.196;0.192;0.196;0.184;0.177;0.166;0.169;0.174;0.174;0.175;0.175;0.181;0.184;0.201;0.214;0.224;0.244;0.252;0.266;0.28;0.291;0.297;0.297;0.305;0.31;0.317;0.324;0.324;0.326;0.34;0.351;0.361;0.363;0.358;0.357;0.36;0.358;0.355;0.352;0.349;0.348;0.342;0.336;0.327;0.322;0.313;0.3;0.291;0.286;0.274;0.261;0.248;0.228;0.212;0.202;0.177;0.154;0.147;0.132;0.122;0.118;0.11;0.102;0.099;0.087;0.077;0.071;0.06;0.049;0.043;0.031;0.026;0.027;0.019;0.013;0.008;-0.002;-0.002;-0.006;-0.018;-0.026;-0.022;-0.015;-0.009;-0.004;0.002;0.01;0.024;0.022;0.02;0.019;0.018;0.019;0.009;0.008;0;0.004;0.004;0.014;0.013;0.01;0.011;0.005;0.012;0.02;0.021;0.019;0.013;0.012;0.01;0.009;0.005;-0.002;-0.007;-0.013;-0.011;-0.004;0;0.006;0.016;0.019;0.024;0.02;0.022;0.022;0.025;0.023;0.008
7;gfp_neutral;14.65;50;0.293;10;2.64;1.24;01-01-2000 01:12;340;0.057;General Account;3914;MEASURE;dsDNA;00129:V1.35:FW V2.24:DB 1335;Mic:UV:6.0:10:9:86:22;0.272;0.274;0.261;0.266;0.254;0.253;0.259;0.254;0.241;0.236;0.237;0.237;0.234;0.236;0.23;0.23;0.241;0.246;0.249;0.257;0.263;0.266;0.268;0.277;0.282;0.285;0.292;0.292;0.297;0.299;0.299;0.296;0.3;0.302;0.306;0.308;0.298;0.295;0.293;0.294;0.293;0.286;0.282;0.279;0.277;0.274;0.273;0.266;0.255;0.242;0.233;0.227;0.216;0.203;0.193;0.175;0.165;0.157;0.14;0.121;0.111;0.099;0.087;0.089;0.087;0.081;0.081;0.075;0.07;0.064;0.059;0.046;0.035;0.027;0.022;0.026;0.02;0.012;0.008;-0.001;0.002;0;-0.013;-0.023;-0.02;-0.015;-0.009;0;0.003;0.009;0.025;0.026;0.022;0.023;0.018;0.013;0.012;0.011;0;-0.007;-0.004;0.01;0.016;0.016;0.012;0.007;0.011;0.022;0.022;0.022;0.016;0.015;0.017;0.014;0.007;0.005;0.001;-0.007;-0.006;-0.005;0;0.011;0.019;0.02;0.024;0.018;0.019;0.022;0.022;0.015;0.004
8;gfp_down;18;50;0.36;10;2.77;1.29;01-01-2000 01:13;340;0.096;General Account;3914;MEASURE;dsDNA;00129:V1.35:FW V2.24:DB 1335;Mic:UV:6.0:10:9:86:22;0.337;0.333;0.325;0.321;0.313;0.317;0.314;0.3;0.286;0.282;0.279;0.278;0.276;0.27;0.268;0.266;0.276;0.285;0.294;0.303;0.308;0.32;0.327;0.339;0.346;0.346;0.352;0.355;0.361;0.363;0.365;0.361;0.365;0.368;0.373;0.38;0.368;0.364;0.358;0.361;0.36;0.357;0.352;0.342;0.339;0.336;0.333;0.323;0.309;0.295;0.289;0.282;0.266;0.249;0.234;0.214;0.199;0.19;0.163;0.138;0.13;0.115;0.103;0.099;0.092;0.08;0.078;0.074;0.067;0.061;0.051;0.039;0.031;0.018;0.01;0.008;-0.002;-0.012;-0.019;-0.026;-0.027;-0.025;-0.03;-0.037;-0.033;-0.023;-0.018;-0.009;-0.003;0;0.018;0.016;0.013;0.017;0.013;0.011;0.006;0.011;0;0.005;0.006;0.015;0.018;0.016;0.012;0.005;0.007;0.017;0.022;0.026;0.02;0.019;0.018;0.019;0.015;0.012;0.004;-0.009;-0.006;-0.005;0;0;0.005;0.005;0.01;0.006;0.01;0.013;0.013;0.011;0
Check sample names in Birta and Sigrun's lab book;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
