[micron],Mean
0.000,4.000053
19.999,4.000038
39.998,4.000164
59.997,4.110214
79.996,4.043518
99.995,4.042633
119.994,4.035362
139.994,4.037304
159.993,4.033081
179.992,4.042122
199.991,4.032688
219.990,4.033432
239.989,4.037796
259.988,4.031189
279.987,4.034561
299.986,4.031090
319.985,4.030163
339.984,4.042522
359.983,4.039196
379.983,4.029686
399.982,4.021244
419.981,4.030376
439.980,4.024830
459.979,4.020180
479.978,4.024494
499.977,4.025120
519.976,4.028465
539.975,4.035339
559.974,4.032883
579.973,4.040646
599.972,4.030663
619.972,4.021229
639.971,4.020737
659.970,4.027657
679.969,4.035061
699.968,4.021275
719.967,4.019417
739.966,4.025127
759.965,4.020191
779.964,4.021214
799.963,4.022366
819.962,4.023323
839.961,4.022816
859.961,4.024380
879.960,4.020275
899.959,4.018005
919.958,4.019421
939.957,4.019848
959.956,4.014648
979.955,4.014740
999.954,4.018265
1019.953,4.018051
1039.952,4.015785
1059.951,4.011860
1079.950,4.009262
1099.950,4.009678
1119.949,4.007843
1139.948,4.010914
1159.947,4.013649
1179.946,4.011932
1199.945,4.011379
1219.944,4.012615
1239.943,4.014709
1259.942,4.011086
1279.941,4.014297
1299.940,4.011909
1319.939,4.011318
1339.938,4.024651
1359.938,4.011417
1379.937,4.013557
1399.936,4.011497
1419.935,4.010990
1439.934,4.010391
1459.933,4.009495
1479.932,4.010227
1499.931,4.009422
1519.930,4.010448
1539.929,4.012966
1559.928,4.012207
1579.927,4.014362
1599.927,4.009663
1619.926,4.011852
1639.925,4.009045
1659.924,4.010601
1679.923,4.010887
1699.922,4.013420
1719.921,4.016159
1739.920,4.016983
1759.919,4.018791
1779.918,4.022358
1799.917,4.039055
1819.917,4.031979
1839.916,4.025436
1859.915,4.021935
1879.914,4.016037
1899.913,4.014397
1919.912,4.011284
1939.911,4.015491
1959.910,4.014931
1979.909,4.011467
1999.908,4.010525
2019.907,4.009899
2039.906,4.012817
2059.906,4.008827
2079.905,4.010189
2099.904,4.007839
2119.903,4.008865
2139.902,4.006592
2159.901,4.010685
2179.900,4.007664
2199.899,4.004593
2219.898,4.004005
2239.897,4.003971
2259.896,4.005695
2279.896,4.009464
2299.895,4.005806
2319.894,4.005852
2339.893,4.006325
2359.892,4.014420
2379.891,4.012814
2399.890,4.010857
2419.889,4.008770
2439.888,4.007072
2459.887,4.007393
2479.886,4.010326
2499.885,4.008263
2519.885,4.013615
2539.884,4.009342
2559.883,4.004436
2579.882,4.007206
2599.881,4.007004
2619.880,4.006638
2639.879,4.007397
2659.878,4.006958
2679.877,4.008602
2699.876,4.007751
2719.875,4.003704
2739.874,4.007336
2759.873,4.008110
2779.873,4.009201
2799.872,4.009876
2819.871,4.009808
2839.870,4.006916
2859.869,4.009880
2879.868,4.012375
2899.867,4.006844
2919.866,4.008278
2939.865,4.012238
2959.864,4.012810
2979.863,4.006569
2999.862,4.004398
3019.862,4.004333
3039.861,4.004646
3059.860,4.006161
3079.859,4.004646
3099.858,4.003483
3119.857,4.002979
3139.856,4.003273
3159.855,4.003822
3179.854,4.002800
3199.853,4.003246
3219.852,4.003246
3239.851,4.003990
3259.850,4.005066
3279.850,4.009579
3299.849,4.005161
3319.848,4.006317
3339.847,4.008083
3359.846,4.007332
3379.845,4.006077
3399.844,4.007484
3419.843,4.005142
3439.842,4.004372
3459.841,4.004639
3479.840,4.005951
3499.839,4.004112
3519.839,4.007294
3539.838,4.008068
3559.837,4.008575
3579.836,4.007576
3599.835,4.005806
3619.834,4.006836
3639.833,4.004383
3659.832,4.002560
3679.831,4.003002
3699.830,4.005260
3719.829,4.004246
3739.828,4.004997
3759.828,4.003304
3779.827,4.003227
3799.826,4.003803
3819.825,4.003181
3839.824,4.004269
3859.823,4.006371
3879.822,4.004932
3899.821,4.006981
3919.820,4.006653
3939.819,4.007446
3959.818,4.007519
3979.817,4.005489
3999.816,4.004784
4019.816,4.005886
4039.815,4.005966
4059.814,4.005939
4079.813,4.005341
4099.812,4.009262
4119.811,4.010540
4139.810,4.005920
4159.809,4.006508
4179.808,4.007587
4199.807,4.012913
4219.807,4.019627
4239.806,4.015556
4259.805,4.010635
4279.804,4.008160
4299.803,4.006760
4319.802,4.008049
4339.801,4.020889
4359.800,4.030682
4379.799,4.050133
4399.798,4.073387
4419.797,4.088436
4439.796,4.099960
4459.795,4.118191
4479.794,4.107014
4499.793,4.095501
4519.792,4.077557
4539.792,4.066963
4559.791,4.055447
4579.790,4.041618
4599.789,4.031631
4619.788,4.033264
4639.787,4.022381
4659.786,4.015530
4679.785,4.012482
4699.784,4.009937
4719.784,4.007061
4739.783,4.007370
4759.782,4.007656
4779.781,4.004189
4799.780,4.002808
4819.779,4.003117
4839.778,4.003593
4859.777,4.001652
4879.776,4.000561
4899.775,4.000355
