well;sample;iso_id;species;culture;medium;temp;time;plate
A1;Bs;Bs;;mono;TSB;30;24;P5PL1
A2;67;p5_1;;dual;TSB;30;24;P5PL1
A3;68;p5_2;;dual;TSB;30;24;P5PL1
A4;69;p5_3;;dual;TSB;30;24;P5PL1
A5;70;p5_4;;dual;TSB;30;24;P5PL1
A6;71;p5_5;;dual;TSB;30;24;P5PL1
A7;72;p5_6;;dual;TSB;30;24;P5PL1
A8;73;p5_7;;dual;TSB;30;24;P5PL1
A9;74;p5_8;;dual;TSB;30;24;P5PL1
A10;75;p5_9;;dual;TSB;30;24;P5PL1
A11;76;p5_10;;dual;TSB;30;24;P5PL1
A12;blk;blk;;blk;TSB;30;24;P5PL1
B1;Bs;Bs;;mono;TSB;30;24;P5PL1
B2;77;p5_11;;dual;TSB;30;24;P5PL1
B3;78;p5_12;;dual;TSB;30;24;P5PL1
B4;79;p5_13;;dual;TSB;30;24;P5PL1
B5;80;p5_14;;dual;TSB;30;24;P5PL1
B6;81;p5_15;;dual;TSB;30;24;P5PL1
B7;82;p5_16;;dual;TSB;30;24;P5PL1
B8;83;p5_17;;dual;TSB;30;24;P5PL1
B9;84;p5_18;;dual;TSB;30;24;P5PL1
B10;85;p5_19;;dual;TSB;30;24;P5PL1
B11;86;p5_20;;dual;TSB;30;24;P5PL1
B12;blk;blk;;blk;TSB;30;24;P5PL1
C1;Bs;Bs;;mono;TSB;30;24;P5PL1
C2;87;p5_21;;dual;TSB;30;24;P5PL1
C3;88;p5_22;;dual;TSB;30;24;P5PL1
C4;89;p5_23;;dual;TSB;30;24;P5PL1
C5;90;p5_24;;dual;TSB;30;24;P5PL1
C6;91;p5_25;;dual;TSB;30;24;P5PL1
C7;92;p5_26;;dual;TSB;30;24;P5PL1
C8;93;p5_27;;dual;TSB;30;24;P5PL1
C9;94;p5_28;;dual;TSB;30;24;P5PL1
C10;95;p5_29;;dual;TSB;30;24;P5PL1
C11;96;p5_30;;dual;TSB;30;24;P5PL1
C12;blk;blk;;blk;TSB;30;24;P5PL1
D1;Bs;Bs;;mono;TSB;30;24;P5PL1
D2;97;p5_31;;dual;TSB;30;24;P5PL1
D3;98;p5_32;;dual;TSB;30;24;P5PL1
D4;99;p5_33;;dual;TSB;30;24;P5PL1
D5;100;p5_34;;dual;TSB;30;24;P5PL1
D6;101;p5_35;;dual;TSB;30;24;P5PL1
D7;102;p5_36;;dual;TSB;30;24;P5PL1
D8;103;p5_37;;dual;TSB;30;24;P5PL1
D9;104;p5_38;;dual;TSB;30;24;P5PL1
D10;105;p5_39;;dual;TSB;30;24;P5PL1
D11;106;p5_40;;dual;TSB;30;24;P5PL1
D12;blk;blk;;blk;TSB;30;24;P5PL1
E1;Bs;Bs;;mono;TSB;30;24;P5PL1
E2;107;p5_41;;dual;TSB;30;24;P5PL1
E3;108;p5_42;;dual;TSB;30;24;P5PL1
E4;109;p5_43;;dual;TSB;30;24;P5PL1
E5;110;p5_44;;dual;TSB;30;24;P5PL1
E6;111;p5_45;;dual;TSB;30;24;P5PL1
E7;112;p5_46;;dual;TSB;30;24;P5PL1
E8;113;p5_47;;dual;TSB;30;24;P5PL1
E9;114;p5_48;;dual;TSB;30;24;P5PL1
E10;115;p5_49;;dual;TSB;30;24;P5PL1
E11;116;p5_50;;dual;TSB;30;24;P5PL1
E12;blk;blk;;blk;TSB;30;24;P5PL1
F1;Bs;Bs;;mono;TSB;30;24;P5PL1
F2;117;p5_51;;dual;TSB;30;24;P5PL1
F3;118;p5_52;;dual;TSB;30;24;P5PL1
F4;119;p5_53;;dual;TSB;30;24;P5PL1
F5;120;p5_54;;dual;TSB;30;24;P5PL1
F6;121;p5_55;;dual;TSB;30;24;P5PL1
F7;122;p5_56;;dual;TSB;30;24;P5PL1
F8;123;p5_57;;dual;TSB;30;24;P5PL1
F9;124;p5_58;;dual;TSB;30;24;P5PL1
F10;125;p5_59;;dual;TSB;30;24;P5PL1
F11;126;p5_60;;dual;TSB;30;24;P5PL1
F12;blk;blk;;blk;TSB;30;24;P5PL1
G1;Bs;Bs;;mono;TSB;30;24;P5PL1
G2;127;p5_61;;dual;TSB;30;24;P5PL1
G3;128;p5_62;;dual;TSB;30;24;P5PL1
G4;129;p5_63;;dual;TSB;30;24;P5PL1
G5;130;p5_64;;dual;TSB;30;24;P5PL1
G6;131;p5_65;;dual;TSB;30;24;P5PL1
G7;132;p5_66;;dual;TSB;30;24;P5PL1
G8;133;p5_67;;dual;TSB;30;24;P5PL1
G9;134;p5_68;;dual;TSB;30;24;P5PL1
G10;135;p5_69;;dual;TSB;30;24;P5PL1
G11;136;p5_70;;dual;TSB;30;24;P5PL1
G12;blk;blk;;blk;TSB;30;24;P5PL1
H1;Bs;Bs;;mono;TSB;30;24;P5PL1
H2;137;p5_71;;dual;TSB;30;24;P5PL1
H3;138;p5_72;;dual;TSB;30;24;P5PL1
H4;139;p5_73;;dual;TSB;30;24;P5PL1
H5;140;p5_74;;dual;TSB;30;24;P5PL1
H6;141;p5_75;;dual;TSB;30;24;P5PL1
H7;142;p5_76;;dual;TSB;30;24;P5PL1
H8;143;p5_77;;dual;TSB;30;24;P5PL1
H9;144;p5_78;;dual;TSB;30;24;P5PL1
H10;145;p5_79;;dual;TSB;30;24;P5PL1
H11;146;p5_80;;dual;TSB;30;24;P5PL1
H12;blk;blk;;blk;TSB;30;24;P5PL1
